inputs,label
White to move. Position is 1kr3r1/pp1bq3/4p3/3PPnn1/2P2N2/8/1B2QPPP/2RR3K w - - 2 29. What is the best move?,knight on f4 to h5
Black to move. Position is r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/1P2PN2/P3BPPP/RNBQK2R b KQkq - 2 7. What is the best move?,pawn on c5 captures pawn on d4
Black to move. Position is r1bq1rk1/pppn1pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b - - 0 8. What is the best move?,pawn on a7 to a5
Black to move. Position is r2q1rk1/p3nppp/2pbp3/2p4b/4N3/3P1N1P/PPP2PP1/R1BQ1RK1 b - - 4 11. What is the best move?,pawn on f7 to f5
White to move. Position is 2r2rk1/1bqnbppp/pp1p1n2/4p3/P3P3/1NN1BP2/1PPQB1PP/R4R1K w - - 3 14. What is the best move?,bishop on e2 to d3
Black to move. Position is 1r2r1k1/1bq1bppp/pp2pn2/3pP3/P1nN1P2/2N2B2/1PP2QPP/R1B2R1K b - - 0 18. What is the best move?,knight on f6 to e4
White to move. Position is b2r2k1/7p/p1q5/P1p3p1/5p1P/2P5/2P1NR2/4Q1K1 w - - 1 32. What is the best move?,king on g1 to h2
Black to move. Position is r5k1/1N3pp1/4b3/8/3n4/5BP1/5R1K/8 b - - 2 41. What is the best move?,knight on d4 captures bishop on f3
White to move. Position is 2k5/pp4pp/1nnb4/5q2/3P1P2/N1P5/4R1PP/1RB4K w - - 5 27. What is the best move?,rook on e2 to e8
White to move. Position is r4rk1/ppp1qpp1/3pnn1p/4p3/4P2B/1PPP1N2/2PQ1PPP/R4RK1 w - - 0 14. What is the best move?,rook on f1 to e1
Black to move. Position is rn1qkb1r/p1pp1ppp/1p2p3/8/2PPb3/P7/1P1NPPPP/R1BQKB1R b KQkq - 1 7. What is the best move?,bishop on e4 to b7
White to move. Position is rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2. What is the best move?,knight on g1 to f3
White to move. Position is 8/5kpp/2p5/1p3b1r/2PBn3/P3PR1P/1R5K/8 w - - 0 44. What is the best move?,pawn on c4 captures pawn on b5
White to move. Position is rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2. What is the best move?,knight on g1 to f3
White to move. Position is 3k4/B4ppp/8/8/Rr3P2/1Pbp4/P4P1P/3K4 w - - 1 40. What is the best move?,rook on a4 captures rook on b4
White to move. Position is 8/4k1p1/1R5p/8/1Pb5/5P1P/1r4P1/6K1 w - - 5 39. What is the best move?,rook on b6 to g6
Black to move. Position is 4k2r/n4ppp/2qp1b2/1p2p3/4P3/NBP2Q1P/1P3PP1/5RK1 b k - 1 19. What is the best move?,castling kingside
White to move. Position is 3r2k1/p4p2/1p3qp1/2p5/P2b3p/1P4P1/4BP1P/3Q1R1K w - - 3 30. What is the best move?,queen on d1 to d3
White to move. Position is r1bqkb1r/3npp1p/pP1p1np1/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 8. What is the best move?,pawn on a2 to a4
