inputs,label
White to move. Position is rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2. What is the best move?,knight on g1 to f3
White to move. Position is r1bq1rk1/ppp2ppp/2nb4/8/3NB3/8/PPP2PPP/R1BQK2R w KQ - 1 10. What is the best move?,bishop on e4 captures knight on c6
Black to move. Position is 2n4b/8/1pppq2k/p3P3/3Pp1pQ/PP6/7P/5R1K b - - 1 39. What is the best move?,king on h6 to g7
White to move. Position is 2k4r/pp2p1b1/3p2p1/1Q3b2/2Pn1qn1/4N3/PP1B1PP1/R2NKB2 w Q - 4 19. What is the best move?,queen on b5 to a4
White to move. Position is rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3. What is the best move?,knight on b1 to c3
Black to move. Position is r1q2r2/p3ppkp/1p1p2p1/1n1P4/4PP2/1P4P1/P2Q2BP/2R2RK1 b - - 1 20. What is the best move?,queen on c8 to d7
Black to move. Position is rn1qkb1r/p1pp1ppp/bp2pn2/8/2PP4/1P3NP1/P3PP1P/RNBQKB1R b KQkq - 0 5. What is the best move?,bishop on a6 to b7
Black to move. Position is r1b1k2r/3nppbp/pq1p1np1/2pP4/P3P3/2N5/1P1N1PPP/R1BQKB1R b KQkq - 1 10. What is the best move?,castling kingside
White to move. Position is r5k1/5pPp/p2p4/1p3PR1/4b3/3P1r2/PP1K4/R7 w - - 0 25. What is the best move?,pawn on d3 captures bishop on e4
Black to move. Position is rn3rk1/pp3pbp/4Bnp1/2p5/8/2N1PN2/PP3PPP/R1BK3R b - - 0 11. What is the best move?,pawn on f7 captures bishop on e6
Black to move. Position is 6k1/1p2r3/p1n1rp2/2Pp1q1p/1P1P2pP/2Q1B3/4RPP1/4R1K1 b - - 0 31. What is the best move?,rook on e6 to e4
White to move. Position is r1b1kbnr/ppqp1ppp/2n1p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6. What is the best move?,bishop on c1 to e3
White to move. Position is q3k2r/1b3p2/1n2p2p/6p1/1bpPn3/2N2NB1/1P2PPPP/2Q1KB1R w Kk - 0 18. What is the best move?,knight on f3 to d2
White to move. Position is rnbqk2r/pp3ppp/4p3/8/1b1PP3/5N2/P4PPP/R1BQKB1R w KQkq - 1 9. What is the best move?,bishop on c1 to d2
White to move. Position is rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3. What is the best move?,knight on b1 to c3
White to move. Position is r2qk2r/2p2pbp/p3b3/1pnp1p2/2nN4/1BP5/PP1NQ1PP/R1B2RK1 w kq - 0 15. What is the best move?,knight on d4 captures pawn on f5
White to move. Position is r1bq1rk1/pp2bppp/2n2n2/2p1p3/2Pp4/1P1P1NP1/P2NPPBP/R1BQ1RK1 w - - 4 9. What is the best move?,rook on f1 to e1
Black to move. Position is 8/5ppk/p2q1b1p/3Bn3/4P3/5N2/PPQ2PPP/1K6 b - - 2 26. What is the best move?,king on h7 to g8
Black to move. Position is 2b1r3/5pkp/p5p1/2p5/2P1P2P/2KB4/P6P/7R b - - 1 25. What is the best move?,bishop on c8 to b7
Black to move. Position is rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1. What is the best move?,pawn on d7 to d5
Black to move. Position is rnbqr1k1/ppp2ppp/5n2/3P4/5P2/2PP4/P1PBB1PP/R2QK1NR b KQ - 2 10. What is the best move?,knight on f6 captures pawn on d5
Black to move. Position is r1n1k2r/1p1qbp1p/1np1b1p1/p2p4/P2P2P1/1P1BPPBP/2QNN1K1/2R4R b kq - 1 20. What is the best move?,bishop on e7 to d6
Black to move. Position is rnb2rk1/p5p1/4pB1p/qPpp4/1b6/2N1PN2/PP3PPP/R2QKB1R b KQ - 0 11. What is the best move?,rook on f8 captures bishop on f6
White to move. Position is rnb2k1r/ppp2p1p/3p4/1B6/3PqB2/8/PPP2KP1/R2Q3R w - - 2 14. What is the best move?,bishop on f4 to h6
Black to move. Position is 2k2r1r/bb1p4/p1q1p3/B3Pp1p/2B2pn1/P4R2/1P2Q1PP/3NR2K b - - 1 22. What is the best move?,king on c8 to b8
Black to move. Position is rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2. What is the best move?,pawn on c7 to c6
Black to move. Position is rnbqkb1r/pp3ppp/5n2/3pp3/2P5/5NP1/PP2PPBP/RNBQK2R b KQkq - 1 7. What is the best move?,pawn on d5 to d4
Black to move. Position is 1r6/p1q1nk2/3p1bp1/2pP1p1p/Q1P2B1P/3P2P1/P5BK/4R3 b - - 0 27. What is the best move?,bishop on f6 to e5
White to move. Position is r4rk1/4qppp/p3p3/1p1b4/1P2n3/P2RPN2/Q3BPPP/3R2K1 w - - 3 21. What is the best move?,queen on a2 to a1
Black to move. Position is rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2. What is the best move?,pawn on e7 to e6
White to move. Position is r1b2r1k/1pq2p1B/p3p3/4bp2/6Q1/1N6/PPP3PP/1K1R1R2 w - - 0 21. What is the best move?,queen on g4 to h4
White to move. Position is 8/3r1p1p/1pk3p1/p1n1p3/P1P5/R3P3/1P2K1PP/1N6 w - - 2 26. What is the best move?,knight on b1 to d2
Black to move. Position is 2rqr1k1/1p1bppbp/p1np1np1/8/2P1P3/2N1BP2/PPNQB1PP/2R2RK1 b - - 4 13. What is the best move?,knight on c6 to e5
Black to move. Position is r1bq1rk1/ppp2ppp/2nppn2/8/1bPP4/P1N2N2/1PQBPPPP/R3KB1R b KQ - 0 7. What is the best move?,bishop on b4 captures knight on c3
Black to move. Position is 3qkb1r/1b1n1ppp/pp1ppn2/8/P2NPP2/2P1BB2/2P3PP/R2Q1RK1 b k - 0 12. What is the best move?,knight on f6 captures pawn on e4
White to move. Position is 4rrk1/pp1b2pp/1qnbp3/3p2B1/3P2n1/2NB1N2/PP2RPPP/R2Q2K1 w - - 14 18. What is the best move?,rook on e2 to d2
White to move. Position is r1b2rk1/p3qpb1/1p2p1pp/n5B1/3PN3/2P5/P3BPPP/3R1RK1 w - - 0 18. What is the best move?,bishop on g5 captures queen on e7
Black to move. Position is 1nkqr2r/2p2pb1/1pP1pp2/pP1b3p/3PN3/P4NP1/2Q2PBP/3RR1K1 b - - 1 23. What is the best move?,pawn on f6 to f5
Black to move. Position is r1b4r/pp3kpp/2p2P2/2bq4/3p4/3P4/PPP3PP/RNBQ1RK1 b - - 0 12. What is the best move?,pawn on g7 captures pawn on f6
Black to move. Position is r2q1rk1/1ppb2b1/3p1ppn/3Pp2p/1PP1P2B/2Q4P/3NBPP1/1R2K2R b K - 0 18. What is the best move?,pawn on g6 to g5
White to move. Position is r4bk1/1bq2p2/pp4p1/3p2rp/2PQn3/N4B1P/PP4PN/3RR1K1 w - - 5 34. What is the best move?,bishop on f3 captures knight on e4
White to move. Position is r2qkbnr/p4p1p/3pb3/2p5/2NpP1p1/8/PP3PPP/RNBQR1K1 w kq - 2 12. What is the best move?,knight on b1 to a3
White to move. Position is 4kb1r/1bqn1ppp/pp2p3/3p4/P3nP2/2P1BB2/2P1N1PP/R3QRK1 w k - 0 15. What is the best move?,bishop on f3 captures knight on e4
White to move. Position is rnbqkbnr/pp1ppppp/8/2p5/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2. What is the best move?,pawn on e2 to e4
White to move. Position is rnbqk2r/pp3pbp/3p1np1/2pP4/4PP2/2N5/PP4PP/R1BQKBNR w KQkq - 1 8. What is the best move?,bishop on f1 to b5
Black to move. Position is rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2. What is the best move?,pawn on e7 to e6
Black to move. Position is r1br2k1/2qn1ppp/pp1ppb2/5P2/2PNP3/1PN3Q1/PB4PP/3R1R1K b - - 0 17. What is the best move?,rook on d8 to e8
Black to move. Position is r1bn4/ppbNp1kp/2r3p1/4p3/7Q/2P5/PP3PPP/3R1RK1 b - - 5 23. What is the best move?,rook on c6 to e6
Black to move. Position is 5k2/R5p1/7p/7P/4P1P1/p3KP2/r7/8 b - - 0 45. What is the best move?,rook on a2 to a1
Black to move. Position is rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2. What is the best move?,pawn on d7 to d5
White to move. Position is r3r1k1/4qppb/p2p3p/2nP1P2/p1P1P1P1/4Q2P/3N4/R3RNK1 w - - 1 30. What is the best move?,knight on f1 to h2
White to move. Position is 2kr3r/1pp2ppp/p1p5/4n3/4P3/2P1BP2/P1P1K1PP/3R3R w - - 3 15. What is the best move?,pawn on h2 to h4
Black to move. Position is rnbqkb1r/ppp2ppp/5n2/3P4/2P2p2/8/PP1PB1PP/RNBQK1NR b KQkq - 0 5. What is the best move?,pawn on c7 to c6
White to move. Position is 2bq1rk1/4r1b1/1p1p1n1p/p1pPn3/P1P2NP1/2N3QP/1P1BB1K1/4RR2 w - - 13 27. What is the best move?,king on g2 to h1
White to move. Position is rnbqkb1r/ppp1n1pp/8/3pP1N1/4p3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 7. What is the best move?,pawn on e5 to e6
